Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
22/2/2021,Calgary Flames,3,Toronto Maple Leafs,0,,,02:22,
23/2/2021,Chicago Blackhawks,6,Columbus Blue Jackets,5,SO,,02:39,
23/2/2021,Nashville Predators,2,Detroit Red Wings,0,,,02:29,
23/2/2021,Buffalo Sabres,4,New Jersey Devils,1,,,02:30,
23/2/2021,Montreal Canadiens,4,Ottawa Senators,5,SO,,02:44,
23/2/2021,Edmonton Oilers,4,Vancouver Canucks,3,,,02:28,
23/2/2021,Pittsburgh Penguins,3,Washington Capitals,2,OT,,02:30,
24/2/2021,Anaheim Ducks,3,Arizona Coyotes,4,SO,2319.0,02:46,
24/2/2021,Minnesota Wild,6,Colorado Avalanche,2,,,02:26,
24/2/2021,Dallas Stars,3,Florida Panthers,0,,3324.0,02:31,
24/2/2021,New York Rangers,3,Philadelphia Flyers,4,,,02:27,
24/2/2021,Los Angeles Kings,2,St. Louis Blues,1,,,02:23,
24/2/2021,Carolina Hurricanes,0,Tampa Bay Lightning,3,,500.0,02:18,
24/2/2021,Calgary Flames,1,Toronto Maple Leafs,2,OT,,02:24,
25/2/2021,New Jersey Devils,4,Buffalo Sabres,3,OT,,02:22,
25/2/2021,Chicago Blackhawks,2,Columbus Blue Jackets,0,,,02:14,
25/2/2021,Nashville Predators,2,Detroit Red Wings,5,,,02:23,
25/2/2021,Dallas Stars,2,Florida Panthers,3,,3844.0,02:28,
25/2/2021,Boston Bruins,2,New York Islanders,7,,,02:24,at Nassau Veterans Memorial Coliseum (Uniondale NY)
25/2/2021,Calgary Flames,1,Ottawa Senators,6,,,02:19,
25/2/2021,Carolina Hurricanes,1,Tampa Bay Lightning,3,,536.0,02:31,
25/2/2021,Edmonton Oilers,3,Vancouver Canucks,0,,,02:19,
25/2/2021,Montreal Canadiens,3,Winnipeg Jets,6,,,02:22,
25/2/2021,Pittsburgh Penguins,2,Washington Capitals,5,,,02:25,
26/2/2021,Colorado Avalanche,3,Arizona Coyotes,2,,2495.0,02:28,
26/2/2021,Los Angeles Kings,1,Minnesota Wild,3,,,02:22,
26/2/2021,Boston Bruins,2,New York Rangers,6,,1800.0,02:33,
27/2/2021,Vegas Golden Knights,3,Anaheim Ducks,2,OT,,02:33,
27/2/2021,Colorado Avalanche,6,Arizona Coyotes,2,,3224.0,02:23,
27/2/2021,Philadelphia Flyers,3,Buffalo Sabres,0,,,02:23,
27/2/2021,Detroit Red Wings,5,Chicago Blackhawks,3,,,02:17,
27/2/2021,Toronto Maple Leafs,4,Edmonton Oilers,0,,,02:22,
27/2/2021,Carolina Hurricanes,4,Florida Panthers,3,SO,4281.0,02:53,
27/2/2021,Los Angeles Kings,3,Minnesota Wild,4,OT,,02:37,
27/2/2021,Washington Capitals,5,New Jersey Devils,2,,,02:27,
27/2/2021,Columbus Blue Jackets,1,Nashville Predators,2,,,02:24,
27/2/2021,Pittsburgh Penguins,4,New York Islanders,3,OT,,02:30,at Nassau Veterans Memorial Coliseum (Uniondale NY)
27/2/2021,Calgary Flames,6,Ottawa Senators,3,,,02:32,
27/2/2021,St. Louis Blues,7,San Jose Sharks,6,,,02:34,
27/2/2021,Dallas Stars,0,Tampa Bay Lightning,5,,537.0,02:18,
27/2/2021,Montreal Canadiens,1,Winnipeg Jets,2,OT,,02:27,
28/2/2021,Philadelphia Flyers,3,Buffalo Sabres,0,,,02:13,
28/2/2021,Detroit Red Wings,2,Chicago Blackhawks,7,,,02:25,
28/2/2021,Washington Capitals,3,New Jersey Devils,2,,,02:25,
28/2/2021,Columbus Blue Jackets,1,Nashville Predators,3,,,02:25,
28/2/2021,Pittsburgh Penguins,0,New York Islanders,2,,,02:22,at Nassau Veterans Memorial Coliseum (Uniondale NY)
28/2/2021,Boston Bruins,4,New York Rangers,1,,1800.0,02:24,
1/3/2021,St. Louis Blues,5,Anaheim Ducks,4,,,02:29,
1/3/2021,Toronto Maple Leafs,3,Edmonton Oilers,0,,,02:23,
1/3/2021,Carolina Hurricanes,3,Florida Panthers,2,OT,3817.0,02:30,
1/3/2021,Calgary Flames,1,Ottawa Senators,5,,,02:25,
1/3/2021,Colorado Avalanche,2,San Jose Sharks,6,,,02:22,
1/3/2021,Minnesota Wild,4,Vegas Golden Knights,5,OT,2605.0,02:31,
1/3/2021,Vancouver Canucks,4,Winnipeg Jets,0,,,02:20,
2/3/2021,Detroit Red Wings,1,Columbus Blue Jackets,4,,1953.0,02:23,
2/3/2021,Tampa Bay Lightning,2,Dallas Stars,0,,4067.0,02:24,
2/3/2021,Ottawa Senators,1,Montreal Canadiens,3,,,02:25,
2/3/2021,New York Islanders,2,New Jersey Devils,1,,1800.0,02:27,
2/3/2021,Carolina Hurricanes,4,Nashville Predators,2,,,02:27,
2/3/2021,Buffalo Sabres,2,New York Rangers,3,,1800.0,02:18,
2/3/2021,Philadelphia Flyers,2,Pittsburgh Penguins,5,,2800.0,02:27,
2/3/2021,Vancouver Canucks,2,Winnipeg Jets,5,,,02:17,
3/3/2021,St. Louis Blues,3,Anaheim Ducks,2,,,02:28,
3/3/2021,Washington Capitals,2,Boston Bruins,1,SO,,02:48,
3/3/2021,Toronto Maple Leafs,6,Edmonton Oilers,1,,,02:22,
3/3/2021,Arizona Coyotes,3,Los Angeles Kings,2,,,02:20,
3/3/2021,Colorado Avalanche,4,San Jose Sharks,0,,,02:25,
3/3/2021,Minnesota Wild,1,Vegas Golden Knights,5,,2610.0,02:25,
4/3/2021,Detroit Red Wings,2,Carolina Hurricanes,5,,2924.0,02:30,
4/3/2021,Ottawa Senators,3,Calgary Flames,7,,,02:27,
4/3/2021,Tampa Bay Lightning,3,Chicago Blackhawks,2,OT,,02:30,
4/3/2021,Columbus Blue Jackets,3,Dallas Stars,2,,4112.0,02:18,
4/3/2021,Winnipeg Jets,4,Montreal Canadiens,3,OT,,02:22,
4/3/2021,New York Rangers,6,New Jersey Devils,1,,,02:27,
4/3/2021,Florida Panthers,5,Nashville Predators,4,,,02:36,
4/3/2021,Buffalo Sabres,2,New York Islanders,5,,,02:17,at Nassau Veterans Memorial Coliseum (Uniondale NY)
4/3/2021,Philadelphia Flyers,4,Pittsburgh Penguins,3,,2800.0,02:25,
4/3/2021,Toronto Maple Leafs,1,Vancouver Canucks,3,,,02:17,
5/3/2021,Minnesota Wild,5,Arizona Coyotes,1,,2541.0,02:30,
5/3/2021,Washington Capitals,1,Boston Bruins,5,,,03:01,
5/3/2021,Tampa Bay Lightning,3,Chicago Blackhawks,4,SO,,02:37,
5/3/2021,Anaheim Ducks,2,Colorado Avalanche,3,OT,,02:32,
5/3/2021,St. Louis Blues,3,Los Angeles Kings,2,OT,,02:22,
