Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date
5/12/2018,Carolina Hurricanes,1,San Jose Sharks,5,,17119,02:24,,2018-12-05
5/12/2018,Edmonton Oilers,3,St. Louis Blues,2,SO,16551,02:37,,2018-12-05
6/12/2018,Washington Capitals,4,Arizona Coyotes,2,,11910,02:21,,2018-12-06
6/12/2018,Minnesota Wild,0,Calgary Flames,2,,17690,02:33,,2018-12-06
6/12/2018,Colorado Avalanche,5,Florida Panthers,2,,10077,02:29,,2018-12-06
6/12/2018,New Jersey Devils,6,Los Angeles Kings,3,,17568,02:47,,2018-12-06
6/12/2018,Montreal Canadiens,5,Ottawa Senators,2,,15820,02:24,,2018-12-06
6/12/2018,Columbus Blue Jackets,4,Philadelphia Flyers,3,OT,19428,02:30,,2018-12-06
6/12/2018,New York Islanders,2,Pittsburgh Penguins,6,,18440,02:25,,2018-12-06
6/12/2018,Boston Bruins,2,Tampa Bay Lightning,3,,19092,02:24,,2018-12-06
6/12/2018,Detroit Red Wings,5,Toronto Maple Leafs,4,OT,19392,02:37,,2018-12-06
6/12/2018,Nashville Predators,3,Vancouver Canucks,5,,16894,02:25,,2018-12-06
6/12/2018,Chicago Blackhawks,3,Vegas Golden Knights,4,,18494,02:32,,2018-12-06
7/12/2018,Carolina Hurricanes,4,Anaheim Ducks,1,,15573,02:35,,2018-12-07
7/12/2018,San Jose Sharks,2,Dallas Stars,3,,18342,02:26,,2018-12-07
7/12/2018,Minnesota Wild,2,Edmonton Oilers,7,,18347,02:28,,2018-12-07
7/12/2018,St. Louis Blues,1,Winnipeg Jets,0,,15321,02:27,,2018-12-07
8/12/2018,San Jose Sharks,5,Arizona Coyotes,3,,13780,02:29,,2018-12-08
8/12/2018,Toronto Maple Leafs,3,Boston Bruins,6,,17565,02:39,,2018-12-08
8/12/2018,Philadelphia Flyers,6,Buffalo Sabres,2,,18283,02:29,,2018-12-08
8/12/2018,Washington Capitals,4,Columbus Blue Jackets,0,,18501,02:29,,2018-12-08
8/12/2018,Nashville Predators,2,Calgary Flames,5,,17717,02:17,,2018-12-08
8/12/2018,New York Islanders,3,Detroit Red Wings,2,,19515,02:39,at Little Caesars Arena (Detroit MI),2018-12-08
8/12/2018,New York Rangers,5,Florida Panthers,4,SO,15295,02:43,,2018-12-08
8/12/2018,Vegas Golden Knights,1,Los Angeles Kings,5,,17631,02:25,,2018-12-08
8/12/2018,Pittsburgh Penguins,1,Ottawa Senators,2,OT,15795,02:28,,2018-12-08
8/12/2018,Colorado Avalanche,1,Tampa Bay Lightning,7,,19092,02:32,,2018-12-08
9/12/2018,New Jersey Devils,5,Anaheim Ducks,6,SO,16470,02:45,,2018-12-09
9/12/2018,Montreal Canadiens,3,Chicago Blackhawks,2,,21057,02:32,,2018-12-09
9/12/2018,Calgary Flames,0,Edmonton Oilers,1,,18347,02:25,,2018-12-09
9/12/2018,Boston Bruins,2,Ottawa Senators,1,OT,13148,02:33,,2018-12-09
9/12/2018,Vancouver Canucks,6,St. Louis Blues,1,,16841,02:22,,2018-12-09
9/12/2018,Dallas Stars,2,Vegas Golden Knights,4,,18240,02:31,,2018-12-09
9/12/2018,Philadelphia Flyers,1,Winnipeg Jets,7,,15321,02:38,,2018-12-09
10/12/2018,Los Angeles Kings,1,Detroit Red Wings,3,,18322,02:24,at Little Caesars Arena (Detroit MI),2018-12-10
10/12/2018,Pittsburgh Penguins,2,New York Islanders,1,SO,13917,02:43,at Nassau Veterans Memorial Coliseum (Uniondale NY),2018-12-10
10/12/2018,New Jersey Devils,2,San Jose Sharks,5,,17097,02:28,,2018-12-10
10/12/2018,New York Rangers,3,Tampa Bay Lightning,6,,19092,02:33,,2018-12-10
11/12/2018,Arizona Coyotes,3,Boston Bruins,4,,17565,02:35,,2018-12-11
11/12/2018,Los Angeles Kings,3,Buffalo Sabres,4,OT,17897,02:50,,2018-12-11
11/12/2018,Toronto Maple Leafs,4,Carolina Hurricanes,1,,11907,02:21,,2018-12-11
11/12/2018,Vancouver Canucks,3,Columbus Blue Jackets,2,,14689,02:28,,2018-12-11
11/12/2018,Edmonton Oilers,6,Colorado Avalanche,4,,15809,02:36,,2018-12-11
11/12/2018,Montreal Canadiens,1,Minnesota Wild,7,,18681,02:24,,2018-12-11
11/12/2018,Ottawa Senators,1,Nashville Predators,3,,17162,02:24,,2018-12-11
11/12/2018,Florida Panthers,3,St. Louis Blues,4,,16255,02:38,,2018-12-11
11/12/2018,Chicago Blackhawks,3,Winnipeg Jets,6,,15321,02:23,,2018-12-11
11/12/2018,Detroit Red Wings,2,Washington Capitals,6,,18506,02:35,,2018-12-11
12/12/2018,Dallas Stars,3,Anaheim Ducks,6,,16810,02:32,,2018-12-12
12/12/2018,Philadelphia Flyers,5,Calgary Flames,6,OT,17763,02:31,,2018-12-12
12/12/2018,Pittsburgh Penguins,3,Chicago Blackhawks,6,,21232,02:28,,2018-12-12
12/12/2018,Vegas Golden Knights,3,New York Islanders,2,,9182,02:39,,2018-12-12
13/12/2018,Arizona Coyotes,1,Buffalo Sabres,3,,16872,02:33,,2018-12-13
13/12/2018,Los Angeles Kings,1,Columbus Blue Jackets,4,,15087,02:30,,2018-12-13
13/12/2018,Florida Panthers,1,Minnesota Wild,5,,18714,02:32,,2018-12-13
13/12/2018,Carolina Hurricanes,4,Montreal Canadiens,6,,20407,02:33,,2018-12-13
13/12/2018,Vancouver Canucks,3,Nashville Predators,4,OT,17206,02:41,,2018-12-13
13/12/2018,Dallas Stars,2,San Jose Sharks,3,,17185,02:30,,2018-12-13
