game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number
Wed,2021-01-20,2021,10:00p,San Antonio Spurs,99,Golden State Warriors,121,,0,2020/2021,Jan,20,1
Wed,2021-01-20,2021,10:00p,Sacramento Kings,96,Los Angeles Clippers,115,,0,2020/2021,Jan,20,1
Thu,2021-01-21,2021,7:30p,Los Angeles Lakers,113,Milwaukee Bucks,106,,0,2020/2021,Jan,21,1
Thu,2021-01-21,2021,10:00p,New York Knicks,119,Golden State Warriors,104,,0,2020/2021,Jan,21,1
Thu,2021-01-21,2021,10:00p,New Orleans Pelicans,118,Utah Jazz,129,,1932,2020/2021,Jan,21,1
Fri,2021-01-22,2021,7:00p,Chicago Bulls,123,Charlotte Hornets,110,,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,7:00p,Houston Rockets,103,Detroit Pistons,102,,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,7:00p,Orlando Magic,118,Indiana Pacers,120,OT,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,7:30p,Brooklyn Nets,113,Cleveland Cavaliers,125,,1944,2020/2021,Jan,22,1
Fri,2021-01-22,2021,7:30p,Boston Celtics,110,Philadelphia 76ers,122,,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,7:30p,Miami Heat,81,Toronto Raptors,101,,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,8:00p,Atlanta Hawks,116,Minnesota Timberwolves,98,,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,8:30p,Dallas Mavericks,122,San Antonio Spurs,117,,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,10:00p,Oklahoma City Thunder,106,Los Angeles Clippers,120,,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,10:00p,Denver Nuggets,130,Phoenix Suns,126,OT,0,2020/2021,Jan,22,1
Fri,2021-01-22,2021,10:00p,New York Knicks,94,Sacramento Kings,103,,0,2020/2021,Jan,22,1
Sat,2021-01-23,2021,8:00p,Miami Heat,124,Brooklyn Nets,128,,0,2020/2021,Jan,23,1
Sat,2021-01-23,2021,8:00p,Philadelphia 76ers,114,Detroit Pistons,110,,0,2020/2021,Jan,23,1
Sat,2021-01-23,2021,8:00p,New Orleans Pelicans,110,Minnesota Timberwolves,120,,0,2020/2021,Jan,23,1
Sat,2021-01-23,2021,9:00p,Los Angeles Lakers,101,Chicago Bulls,90,,0,2020/2021,Jan,23,1
Sat,2021-01-23,2021,9:00p,Houston Rockets,133,Dallas Mavericks,108,,0,2020/2021,Jan,23,1
Sat,2021-01-23,2021,9:00p,Denver Nuggets,120,Phoenix Suns,112,2OT,0,2020/2021,Jan,23,1
