Team,Distance,Schedule Type,League
Cleveland Cavaliers,52512.09384301076,min_diff - low - basic - monthly,NBA
Indiana Pacers,55925.05257024185,min_diff - low - basic - monthly,NBA
Orlando Magic,70091.29883043923,min_diff - low - basic - monthly,NBA
Philadelphia 76ers,57106.06156964434,min_diff - low - basic - monthly,NBA
Toronto Raptors,56061.62947294438,min_diff - low - basic - monthly,NBA
Boston Celtics,63829.40408164328,min_diff - low - basic - monthly,NBA
Chicago Bulls,56005.28341039955,min_diff - low - basic - monthly,NBA
Memphis Grizzlies,60973.18863315758,min_diff - low - basic - monthly,NBA
Minnesota Timberwolves,66262.8680798337,min_diff - low - basic - monthly,NBA
Denver Nuggets,65047.947481392024,min_diff - low - basic - monthly,NBA
Portland Trail Blazers,68792.62269375104,min_diff - low - basic - monthly,NBA
Phoenix Suns,65097.54611252499,min_diff - low - basic - monthly,NBA
Miami Heat,64429.04354682349,min_diff - low - basic - monthly,NBA
Milwaukee Bucks,53540.45732735029,min_diff - low - basic - monthly,NBA
Charlotte Hornets,49851.21247787254,min_diff - low - basic - monthly,NBA
Detroit Pistons,51138.28462893508,min_diff - low - basic - monthly,NBA
Washington Wizards,53631.53105060853,min_diff - low - basic - monthly,NBA
New York Knicks,59972.10187629982,min_diff - low - basic - monthly,NBA
San Antonio Spurs,62888.06425040395,min_diff - low - basic - monthly,NBA
Utah Jazz,65358.64908515962,min_diff - low - basic - monthly,NBA
Sacramento Kings,77510.07257623949,min_diff - low - basic - monthly,NBA
Los Angeles Clippers,65279.40195977216,min_diff - low - basic - monthly,NBA
New Orleans Pelicans,64767.54807505551,min_diff - low - basic - monthly,NBA
Atlanta Hawks,54901.64714219055,min_diff - low - basic - monthly,NBA
Oklahoma City Thunder,53507.419073292935,min_diff - low - basic - monthly,NBA
Dallas Mavericks,61579.87239673661,min_diff - low - basic - monthly,NBA
Houston Rockets,65897.94773628825,min_diff - low - basic - monthly,NBA
Golden State Warriors,72352.13982803228,min_diff - low - basic - monthly,NBA
all,1838153.4354156528,min_diff - low - basic - monthly,NBA
Brooklyn Nets,59315.36104639384,min_diff - low - basic - post_all_star,NBA
Los Angeles Lakers,64527.6845592153,min_diff - low - basic - post_all_star,NBA
Cleveland Cavaliers,52021.09286278146,min_diff - low - basic - post_all_star,NBA
Indiana Pacers,55925.05257024185,min_diff - low - basic - post_all_star,NBA
Orlando Magic,70091.29883043923,min_diff - low - basic - post_all_star,NBA
