home,visitor,game_date,Schedule Type,League
Detroit Red Wings,Nashville Predators,2021-02-23,Actual,NHL
New Jersey Devils,Buffalo Sabres,2021-02-23,Actual,NHL
Ottawa Senators,Montreal Canadiens,2021-02-23,Actual,NHL
Vancouver Canucks,Edmonton Oilers,2021-02-23,Actual,NHL
Washington Capitals,Pittsburgh Penguins,2021-02-23,Actual,NHL
Arizona Coyotes,Anaheim Ducks,2021-02-24,Actual,NHL
Colorado Avalanche,Minnesota Wild,2021-02-24,Actual,NHL
Florida Panthers,Dallas Stars,2021-02-24,Actual,NHL
Philadelphia Flyers,New York Rangers,2021-02-24,Actual,NHL
St. Louis Blues,Los Angeles Kings,2021-02-24,Actual,NHL
Tampa Bay Lightning,Carolina Hurricanes,2021-02-24,Actual,NHL
Toronto Maple Leafs,Calgary Flames,2021-02-24,Actual,NHL
Buffalo Sabres,New Jersey Devils,2021-02-25,Actual,NHL
Columbus Blue Jackets,Chicago Blackhawks,2021-02-25,Actual,NHL
Detroit Red Wings,Nashville Predators,2021-02-25,Actual,NHL
Florida Panthers,Dallas Stars,2021-02-25,Actual,NHL
New York Islanders,Boston Bruins,2021-02-25,Actual,NHL
Ottawa Senators,Calgary Flames,2021-02-25,Actual,NHL
Tampa Bay Lightning,Carolina Hurricanes,2021-02-25,Actual,NHL
Vancouver Canucks,Edmonton Oilers,2021-02-25,Actual,NHL
Winnipeg Jets,Montreal Canadiens,2021-02-25,Actual,NHL
Washington Capitals,Pittsburgh Penguins,2021-02-25,Actual,NHL
Arizona Coyotes,Colorado Avalanche,2021-02-26,Actual,NHL
Minnesota Wild,Los Angeles Kings,2021-02-26,Actual,NHL
New York Rangers,Boston Bruins,2021-02-26,Actual,NHL
Anaheim Ducks,Vegas Golden Knights,2021-02-27,Actual,NHL
Arizona Coyotes,Colorado Avalanche,2021-02-27,Actual,NHL
Buffalo Sabres,Philadelphia Flyers,2021-02-27,Actual,NHL
Chicago Blackhawks,Detroit Red Wings,2021-02-27,Actual,NHL
Edmonton Oilers,Toronto Maple Leafs,2021-02-27,Actual,NHL
Florida Panthers,Carolina Hurricanes,2021-02-27,Actual,NHL
Minnesota Wild,Los Angeles Kings,2021-02-27,Actual,NHL
New Jersey Devils,Washington Capitals,2021-02-27,Actual,NHL
Nashville Predators,Columbus Blue Jackets,2021-02-27,Actual,NHL
New York Islanders,Pittsburgh Penguins,2021-02-27,Actual,NHL
Ottawa Senators,Calgary Flames,2021-02-27,Actual,NHL
San Jose Sharks,St. Louis Blues,2021-02-27,Actual,NHL
Tampa Bay Lightning,Dallas Stars,2021-02-27,Actual,NHL
Winnipeg Jets,Montreal Canadiens,2021-02-27,Actual,NHL
Buffalo Sabres,Philadelphia Flyers,2021-02-28,Actual,NHL
Chicago Blackhawks,Detroit Red Wings,2021-02-28,Actual,NHL
New Jersey Devils,Washington Capitals,2021-02-28,Actual,NHL
Nashville Predators,Columbus Blue Jackets,2021-02-28,Actual,NHL
New York Islanders,Pittsburgh Penguins,2021-02-28,Actual,NHL
New York Rangers,Boston Bruins,2021-02-28,Actual,NHL
Anaheim Ducks,St. Louis Blues,2021-03-01,Actual,NHL
Edmonton Oilers,Toronto Maple Leafs,2021-03-01,Actual,NHL
Florida Panthers,Carolina Hurricanes,2021-03-01,Actual,NHL
Ottawa Senators,Calgary Flames,2021-03-01,Actual,NHL
San Jose Sharks,Colorado Avalanche,2021-03-01,Actual,NHL
Vegas Golden Knights,Minnesota Wild,2021-03-01,Actual,NHL
Winnipeg Jets,Vancouver Canucks,2021-03-01,Actual,NHL
Columbus Blue Jackets,Detroit Red Wings,2021-03-02,Actual,NHL
Dallas Stars,Tampa Bay Lightning,2021-03-02,Actual,NHL
Montreal Canadiens,Ottawa Senators,2021-03-02,Actual,NHL
New Jersey Devils,New York Islanders,2021-03-02,Actual,NHL
Nashville Predators,Carolina Hurricanes,2021-03-02,Actual,NHL
New York Rangers,Buffalo Sabres,2021-03-02,Actual,NHL
Pittsburgh Penguins,Philadelphia Flyers,2021-03-02,Actual,NHL
Winnipeg Jets,Vancouver Canucks,2021-03-02,Actual,NHL
Anaheim Ducks,St. Louis Blues,2021-03-03,Actual,NHL
Boston Bruins,Washington Capitals,2021-03-03,Actual,NHL
Edmonton Oilers,Toronto Maple Leafs,2021-03-03,Actual,NHL
Los Angeles Kings,Arizona Coyotes,2021-03-03,Actual,NHL
San Jose Sharks,Colorado Avalanche,2021-03-03,Actual,NHL
Vegas Golden Knights,Minnesota Wild,2021-03-03,Actual,NHL
Carolina Hurricanes,Detroit Red Wings,2021-03-04,Actual,NHL
Calgary Flames,Ottawa Senators,2021-03-04,Actual,NHL
Chicago Blackhawks,Tampa Bay Lightning,2021-03-04,Actual,NHL
Dallas Stars,Columbus Blue Jackets,2021-03-04,Actual,NHL
Montreal Canadiens,Winnipeg Jets,2021-03-04,Actual,NHL
New Jersey Devils,New York Rangers,2021-03-04,Actual,NHL
Nashville Predators,Florida Panthers,2021-03-04,Actual,NHL
New York Islanders,Buffalo Sabres,2021-03-04,Actual,NHL
Pittsburgh Penguins,Philadelphia Flyers,2021-03-04,Actual,NHL
Vancouver Canucks,Toronto Maple Leafs,2021-03-04,Actual,NHL
Arizona Coyotes,Minnesota Wild,2021-03-05,Actual,NHL
Boston Bruins,Washington Capitals,2021-03-05,Actual,NHL
Chicago Blackhawks,Tampa Bay Lightning,2021-03-05,Actual,NHL
Colorado Avalanche,Anaheim Ducks,2021-03-05,Actual,NHL
Los Angeles Kings,St. Louis Blues,2021-03-05,Actual,NHL
San Jose Sharks,Vegas Golden Knights,2021-03-05,Actual,NHL
Arizona Coyotes,Minnesota Wild,2021-03-06,Actual,NHL
Colorado Avalanche,Anaheim Ducks,2021-03-06,Actual,NHL
Dallas Stars,Columbus Blue Jackets,2021-03-06,Actual,NHL
Edmonton Oilers,Calgary Flames,2021-03-06,Actual,NHL
Los Angeles Kings,St. Louis Blues,2021-03-06,Actual,NHL
Montreal Canadiens,Winnipeg Jets,2021-03-06,Actual,NHL
New Jersey Devils,New York Rangers,2021-03-06,Actual,NHL
Nashville Predators,Florida Panthers,2021-03-06,Actual,NHL
New York Islanders,Buffalo Sabres,2021-03-06,Actual,NHL
Pittsburgh Penguins,Philadelphia Flyers,2021-03-06,Actual,NHL
San Jose Sharks,Vegas Golden Knights,2021-03-06,Actual,NHL
Vancouver Canucks,Toronto Maple Leafs,2021-03-06,Actual,NHL
Boston Bruins,New Jersey Devils,2021-03-07,Actual,NHL
Carolina Hurricanes,Florida Panthers,2021-03-07,Actual,NHL
Calgary Flames,Ottawa Senators,2021-03-07,Actual,NHL
Chicago Blackhawks,Tampa Bay Lightning,2021-03-07,Actual,NHL
Dallas Stars,Nashville Predators,2021-03-07,Actual,NHL
New York Islanders,Buffalo Sabres,2021-03-07,Actual,NHL
Philadelphia Flyers,Washington Capitals,2021-03-07,Actual,NHL
Pittsburgh Penguins,New York Rangers,2021-03-07,Actual,NHL
Anaheim Ducks,Los Angeles Kings,2021-03-08,Actual,NHL
Colorado Avalanche,Arizona Coyotes,2021-03-08,Actual,NHL
Edmonton Oilers,Ottawa Senators,2021-03-08,Actual,NHL
Minnesota Wild,Vegas Golden Knights,2021-03-08,Actual,NHL
San Jose Sharks,St. Louis Blues,2021-03-08,Actual,NHL
Vancouver Canucks,Montreal Canadiens,2021-03-08,Actual,NHL
Carolina Hurricanes,Nashville Predators,2021-03-09,Actual,NHL
Columbus Blue Jackets,Florida Panthers,2021-03-09,Actual,NHL
Dallas Stars,Chicago Blackhawks,2021-03-09,Actual,NHL
Detroit Red Wings,Tampa Bay Lightning,2021-03-09,Actual,NHL
New York Islanders,Boston Bruins,2021-03-09,Actual,NHL
Philadelphia Flyers,Buffalo Sabres,2021-03-09,Actual,NHL
Pittsburgh Penguins,New York Rangers,2021-03-09,Actual,NHL
